Hong Kong|83.74|80.91|86.58
Japan|83.31|80.00|86.49
Italy|82.84|80.27|85.23
Switzerland|82.66|80.43|84.74
Singapore|82.64|79.59|85.61
Iceland|82.30|80.73|83.84
Spain|82.28|79.42|85.05
Australia|82.10|79.93|84.28
Israel|82.07|80.18|83.82
Sweden|81.93|80.10|83.71
France|81.85|78.76|84.87
Canada|81.78|79.69|83.78
New Zealand|81.56|79.71|83.35
South Korea|81.43|77.95|84.63
Luxembourg|81.34|78.94|83.65
Norway|81.32|79.22|83.38
Netherlands|81.31|79.36|83.14
Chile|81.21|78.09|84.12
Martinique|81.18|77.79|84.36
Austria|81.09|78.47|83.59
Germany|80.66|78.18|83.06
Greece|80.60|77.64|83.60
Ireland|80.57|78.40|82.74
Guadeloupe|80.56|76.83|83.98
Portugal|80.55|77.43|83.50
Belgium|80.53|77.95|83.02
Finland|80.53|77.60|83.40
Channel Islands|80.45|78.45|82.39
United Kingdom|80.45|78.45|82.39
Malta|80.30|78.55|81.98
Macau|80.30|78.07|82.51
Slovenia|80.08|76.92|83.14
U.S. Virgin Islands|80.06|77.24|82.92
Denmark|79.99|78.00|81.94
Cyprus|79.90|77.69|82.17
Réunion|79.54|76.04|82.90
Mayotte|79.34|76.04|82.90
Taiwan|79.26|76.43|82.30
Puerto Rico|79.22|75.19|83.17
Costa Rica|79.16|76.70|81.69
Cuba|79.16|77.10|81.27
French Guiana|78.98|75.75|82.58
United States|78.88|76.47|81.25
Lebanon|78.86|77.14|80.87
Guam|78.72|76.14|81.47
Brunei|78.44|76.64|80.39
Czech Republic|78.35|75.36|81.27
Qatar|77.89|77.10|79.68
Curaçao|77.77|74.50|80.70
Albania|77.49|75.04|80.19
Panama|77.32|74.34|80.49
Poland|77.14|73.06|81.14
Croatia|77.05|73.64|80.38
Uruguay|76.96|73.25|80.44
United Arab Emirates|76.67|76.02|78.23
Estonia|76.52|71.57|81.05
Mexico|76.48|74.04|78.93
Bahrain|76.38|75.58|77.42
Maldives|76.36|75.40|77.41
Oman|76.33|74.66|78.85
Bosnia and Herzegovina|76.26|73.71|78.82
New Caledonia|76.19|73.55|79.31
French Polynesia|76.12|73.97|78.55
Slovakia|76.04|72.24|79.73
Montenegro|76.02|73.83|78.18
Argentina|76.01|72.15|79.83
Antigua and Barbuda|75.82|73.29|78.21
Vietnam|75.57|70.73|80.31
Ecuador|75.54|72.82|78.37
Jamaica|75.44|73.07|77.89
China|75.43|73.97|77.02
Aruba|75.39|72.89|77.76
Barbados|75.37|72.91|77.71
Macedonia|75.16|72.87|77.48
Bahamas|75.15|72.02|78.09
Iran|75.06|73.98|76.22
Hungary|74.98|71.23|78.54
Turkey|74.84|71.53|78.12
Saint Lucia|74.81|72.17|77.57
Serbia|74.65|71.83|77.50
Sri Lanka|74.64|71.24|78.03
Georgia|74.64|70.91|78.14
Tunisia|74.60|72.30|77.04
Armenia|74.56|70.74|78.39
Malaysia|74.50|72.21|76.88
Nicaragua|74.47|71.38|77.48
Romania|74.46|70.92|78.07
Algeria|74.42|72.14|76.84
Kuwait|74.28|73.34|75.56
Mauritius|74.15|70.67|77.74
Peru|74.15|71.54|76.84
Thailand|74.14|70.83|77.58
Saudi Arabia|74.08|72.82|75.47
Brazil|74.05|70.29|77.86
Bulgaria|74.04|70.64|77.56
Venezuela|73.95|69.93|78.24
Latvia|73.95|68.85|78.68
Jordan|73.79|72.21|75.52
Colombia|73.75|70.19|77.39
Morocco|73.61|72.60|74.62
Dominican Republic|73.19|70.16|76.45
Grenada|73.17|70.78|75.59
Lithuania|73.07|67.39|78.78
Samoa|73.02|70.02|76.39
Cape Verde|72.97|71.05|74.65
Seychelles|72.94|68.69|77.91
Honduras|72.83|70.39|75.40
Saint Vincent and the Grenadines|72.75|70.70|74.90
Paraguay|72.74|70.70|74.92
Palestine|72.65|70.74|74.66
El Salvador|72.64|67.89|77.08
Tonga|72.60|69.72|75.56
Vanuatu|71.48|69.59|73.60
Libya|71.47|68.79|74.41
Guatemala|71.47|67.92|74.98
Moldova|71.33|67.22|75.43
Belarus|71.08|65.29|76.97
Bangladesh|71.01|69.85|72.26
Suriname|70.90|67.81|74.18
Egypt|70.84|68.71|73.05
Ukraine|70.76|65.73|75.67
Azerbaijan|70.62|67.54|73.77
Kyrgyzstan|70.26|66.35|74.29
Trinidad and Tobago|70.23|66.87|73.84
North Korea|69.91|66.30|73.27
Russian Federation|69.83|64.15|75.55
Belize|69.76|67.19|72.72
Fiji|69.72|66.93|72.89
Syria|69.51|63.98|76.26
Iraq|69.19|66.99|71.44
Tajikistan|69.07|65.90|72.84
Kazakhstan|69.07|64.29|73.87
Nepal|69.03|67.64|70.45
Federated States of Micronesia|68.93|67.99|69.85
Mongolia|68.89|64.76|73.29
Bhutan|68.88|68.63|69.09
Indonesia|68.59|66.61|70.70
Uzbekistan|68.25|64.90|71.61
Philippines|67.99|64.72|71.55
Timor-Leste|67.73|66.06|69.51
Bolivia|67.72|65.34|70.21
Western Sahara|67.61|65.89|69.81
Cambodia|67.61|65.50|69.55
Solomon Islands|67.53|66.19|69.03
India|67.47|66.13|68.93
Guyana|66.24|64.03|68.59
São Tomé and Príncipe|66.23|64.23|68.19
Pakistan|65.88|64.99|66.84
Senegal|65.81|63.86|67.61
Kiribati|65.74|62.55|68.93
Myanmar|65.64|63.58|67.66
Laos|65.51|64.14|66.84
Turkmenistan|65.39|61.31|69.69
Madagascar|64.50|63.02|66.00
Namibia|64.34|61.58|66.95
Botswana|64.12|61.80|66.51
Tanzania|64.04|62.55|65.55
Gabon|63.65|63.15|64.07
Yemen|63.51|62.18|64.88
Rwanda|63.14|59.65|66.30
Ethiopia|63.13|61.30|65.02
Sudan|63.08|61.60|64.60
Eritrea|63.07|60.90|65.18
Comoros|62.83|61.20|64.50
Mauritania|62.77|61.29|64.25
Papua New Guinea|62.31|60.25|64.49
Haiti|62.29|60.18|64.42
Djibouti|61.61|60.04|63.24
Congo|61.42|59.95|62.92
Ghana|61.03|60.06|61.97
Malawi|60.97|59.86|61.98
Niger|60.65|59.85|61.55
Kenya|60.62|59.08|62.17
Liberia|60.25|59.29|61.21
Gambia|59.83|58.54|61.21
Afghanistan|59.82|58.67|61.06
Benin|59.20|57.77|60.61
Togo|59.01|58.28|59.68
Zambia|58.75|57.16|60.33
Democratic Republic of the Congo|58.10|56.67|59.53
Burkina Faso|58.07|56.73|59.33
Guinea|58.04|57.58|58.49
Uganda|57.25|55.67|58.83
Mali|57.23|57.44|56.98
Equatorial Guinea|57.13|55.87|58.57
South Africa|57.11|54.85|59.11
Burundi|56.07|54.18|58.04
South Sudan|55.06|54.10|56.03
Somalia|54.88|53.28|56.51
Cameroon|54.87|53.74|56.02
Zimbabwe|54.78|53.60|55.95
Guinea-Bissau|54.72|53.00|56.50
Mozambique|54.63|52.94|56.18
Nigeria|52.29|51.97|52.61
Angola|51.68|50.20|53.17
Chad|51.13|50.08|52.18
Côte d'Ivoire|50.97|50.21|51.85
Sierra Leone|50.19|49.65|50.74
Central African Republic|49.53|47.83|51.25
